Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,6810.11404104233
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,4342.63796796522
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,19673.3901023197
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,41992.7727779758
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,3000.44423053173
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,19919.7266867883
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,13650.6046294524
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,7018.05150434798
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,33300.8388187011
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,65099.8459118981
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,52084.6811953372
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,7762.0738285884
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,31458.300811739
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,30146.925026365
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,2688.30550090738
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,20238.7842420154
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,7888.26371063212
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,49926.8254295305
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,6984.21695968163
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1302.85103626824
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,118774.790656677
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3600.12163486427
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,7568.79847995923
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7738.87880407803
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,8917.67491057495
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,37152.4769749763
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,13974.4492487792
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,830.03715033429
