REGION,Region,LOCATION,Country,VAR,Variables,TIME,Time,Value,Flag Codes,Flags
REG1_3,Asia,AUS,Australia,DF_CM_LAW,Law,2023,2023,50,NA,NA
REG1_3,Asia,AUS,Australia,DF_CM_PCT_1_RATE_M,Prevalence of boy child marriage (15-19 years old),2023,2023,0.4,NA,NA
REG1_3,Asia,AUS,Australia,DF_CM_PCT_1_RATE_W,Prevalence of girl child marriage (15-19 years old),2023,2023,0.6,NA,NA
REG1_3,Asia,AUS,Australia,DF_HR_LAW,Law,2023,2023,0,NA,NA
REG1_3,Asia,AUS,Australia,DF_HR_ATT_1_RATE_ALL,Attitudes on role in the household,2023,2023,65.2,NA,NA
REG1_3,Asia,AUS,Australia,DF_HR_ATT_2_RATE_ALL,Attitudes on women's income,2023,2023,6.5,NA,NA
REG1_3,Asia,AUS,Australia,DF_HR_ATT_3_RATE_ALL,Attitudes on women's work and children,2023,2023,25.8,NA,NA
REG1_3,Asia,AUS,Australia,DF_HR_PCT_1_RATIO,Female-to-male ratio of UCDW,2023,2023,1.8,NA,NA
REG1_3,Asia,AUS,Australia,DF_HR_PCT_1_HOURS_M,Hours spent by men on UCDW,2023,2023,2.7,NA,NA
REG1_3,Asia,AUS,Australia,DF_HR_PCT_1_HOURS_W,Hours spent by women on UCDW,2023,2023,5,NA,NA
REG1_3,Asia,AUS,Australia,DF_DV_LAW,Law,2023,2023,0,NA,NA
REG1_3,Asia,AUS,Australia,DF_IN_LAW,Law,2023,2023,0,NA,NA
REG1_3,Asia,AUS,Australia,RPI_VAW_LAW,Law,2023,2023,25,NA,NA
REG1_3,Asia,AUS,Australia,RPI_VAW_ATT_1_RATE_W,Attitudes justifying intimate-partner violence,2023,2023,6.8,NA,NA
REG1_3,Asia,AUS,Australia,RPI_VAW_PCT_1_RATE_W,Prevalence of lifetime intimate-partner violence,2023,2023,23,NA,NA
REG1_3,Asia,AUS,Australia,RPI_VAW_PCT_2_RATE_W,Prevalence of intimate-partner violence (last 12 months),2023,2023,2,NA,NA
REG1_3,Asia,AUS,Australia,RPI_FGM_LAW,Law,2023,2023,25,NA,NA
REG1_3,Asia,AUS,Australia,RPI_MW_PCT_1_RATIO,Male-to-female ratio at birth,2023,2023,105.8,NA,NA
REG1_3,Asia,AUS,Australia,RPI_RA_LAW,Law,2023,2023,0,NA,NA
REG1_3,Asia,AUS,Australia,RPI_RA_PCT_1_RATE_W,Unmet needs for family planning,2023,2023,10.4,NA,NA
REG1_3,Asia,AUS,Australia,RAPFR_LND_LAW,Law,2023,2023,50,NA,NA
REG1_3,Asia,AUS,Australia,RAPFR_HSE_LAW,Law,2023,2023,0,NA,NA
REG1_3,Asia,AUS,Australia,RAPFR_AFS_LAW,Law,2023,2023,0,NA,NA
REG1_3,Asia,AUS,Australia,RAPFR_AFS_PCT_1_SIGI,Share of women among bank account owners,2023,2023,51.1,NA,NA
REG1_3,Asia,AUS,Australia,RAPFR_AFS_PCT_1_RATE_M,Men's bank account ownership,2023,2023,98.6,NA,NA
REG1_3,Asia,AUS,Australia,RAPFR_AFS_PCT_1_RATE_W,Women's bank account ownership,2023,2023,100,NA,NA
REG1_3,Asia,AUS,Australia,RAPFR_WR_LAW,Law,2023,2023,0,NA,NA
REG1_3,Asia,AUS,Australia,RAPFR_WR_ATT_1_RATE_ALL,Attitudes on women's right to a job,2023,2023,6.8,NA,NA
REG1_3,Asia,AUS,Australia,RAPFR_WR_ATT_2_RATE_ALL,Attitudes on women's ability to be a business executive,2023,2023,10.7,NA,NA
REG1_3,Asia,AUS,Australia,RAPFR_WR_PCT_1_SIGI,Share of women among managers,2023,2023,40,NA,NA
REG1_3,Asia,AUS,Australia,RCL_CR_LAW,Law,2023,2023,0,NA,NA
REG1_3,Asia,AUS,Australia,RCL_PV_LAW,Law,2023,2023,50,NA,NA
REG1_3,Asia,AUS,Australia,RCL_PV_ATT_1_RATE_ALL,Attitudes on women's ability to be a political leader,2023,2023,12.6,NA,NA
REG1_3,Asia,AUS,Australia,RCL_PV_PCT_1_SIGI,Women's representation in parliament,2023,2023,38.4,NA,NA
REG1_3,Asia,AUS,Australia,RCL_FM_LAW,Law,2023,2023,0,NA,NA
REG1_3,Asia,AUS,Australia,RCL_FM_PCT_1_SIGI,Share of women among those that feel unsafe,2023,2023,81.5,NA,NA
REG1_3,Asia,AUS,Australia,RCL_FM_PCT_1_RATE_M,Men's feeling of insecurity,2023,2023,11.6,NA,NA
REG1_3,Asia,AUS,Australia,RCL_FM_PCT_1_RATE_W,Women's feeling of insecurity,2023,2023,52,NA,NA
REG1_3,Asia,AUS,Australia,RCL_AJ_LAW,Law,2023,2023,0,NA,NA
REG1_3,Asia,AUS,Australia,RCL_AJ_PCT_1_SIGI,Share of women among those lacking confidence in the judicial system,2023,2023,60.4,NA,NA
REG1_3,Asia,AUS,Australia,RCL_AJ_PCT_1_RATE_M,Men's lack of confidence in the judicial system,2023,2023,32.1,NA,NA
REG1_3,Asia,AUS,Australia,RCL_AJ_PCT_1_RATE_W,Women's lack of confidence in the judicial system,2023,2023,48.5,NA,NA
